scenario,label,date_start,date_stop,account_id,campaign_id,campaign_name,objective,adset_id,adset_name,ad_id,ad_name,spend,impressions,reach,clicks,ctr,cpc,cpm,frequency,conversions,revenue,actions_json,cost_per_action_type_json,purchase_roas_json
good_signal,Good signal / opportunity,2026-06-06,2026-06-06,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_1,Broad Women 22-40,ad_good_1,UGC Hook - Morning Routine,1764.00,56550,46800,858,1.5179,2.0550,31.1936,1.2083,27.0,57453.48,"[{""action_type"": ""purchase"", ""value"": ""27""}]","[{""action_type"": ""purchase"", ""value"": ""65.33""}]","[{""action_type"": ""purchase"", ""value"": ""32.57""}]"
good_signal,Good signal / opportunity,2026-06-06,2026-06-06,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_2,Lookalike Purchasers 2%,ad_good_2,Static Before After - Clean Skin,1302.00,46400,36270,742,1.6000,1.7538,28.0603,1.2793,23.0,46872.0,"[{""action_type"": ""purchase"", ""value"": ""23""}]","[{""action_type"": ""purchase"", ""value"": ""56.61""}]","[{""action_type"": ""purchase"", ""value"": ""36.0""}]"
good_signal,Good signal / opportunity,2026-06-06,2026-06-06,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_3,Interest Stack | Beauty Buyers,ad_good_3,Creator Demo - 15 sec,1134.00,42050,33930,719,1.7103,1.5768,26.9679,1.2393,22.0,46868.22,"[{""action_type"": ""purchase"", ""value"": ""22""}]","[{""action_type"": ""purchase"", ""value"": ""51.55""}]","[{""action_type"": ""purchase"", ""value"": ""41.33""}]"
good_signal,Good signal / opportunity,2026-06-07,2026-06-07,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_1,Broad Women 22-40,ad_good_1,UGC Hook - Morning Routine,1827.00,58500,48000,910,1.5559,2.0073,31.2308,1.2188,28.0,60418.89,"[{""action_type"": ""purchase"", ""value"": ""28""}]","[{""action_type"": ""purchase"", ""value"": ""65.25""}]","[{""action_type"": ""purchase"", ""value"": ""33.07""}]"
good_signal,Good signal / opportunity,2026-06-07,2026-06-07,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_2,Lookalike Purchasers 2%,ad_good_2,Static Before After - Clean Skin,1348.50,48000,37200,787,1.6400,1.7130,28.0938,1.2903,24.0,49287.67,"[{""action_type"": ""purchase"", ""value"": ""24""}]","[{""action_type"": ""purchase"", ""value"": ""56.19""}]","[{""action_type"": ""purchase"", ""value"": ""36.55""}]"
good_signal,Good signal / opportunity,2026-06-07,2026-06-07,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_3,Interest Stack | Beauty Buyers,ad_good_3,Creator Demo - 15 sec,1174.50,43500,34800,763,1.7531,1.5401,27.0000,1.2500,22.0,49293.76,"[{""action_type"": ""purchase"", ""value"": ""22""}]","[{""action_type"": ""purchase"", ""value"": ""53.39""}]","[{""action_type"": ""purchase"", ""value"": ""41.97""}]"
good_signal,Good signal / opportunity,2026-06-08,2026-06-08,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_1,Broad Women 22-40,ad_good_1,UGC Hook - Morning Routine,1890.00,60060,49200,955,1.5894,1.9799,31.4685,1.2207,30.0,63730.8,"[{""action_type"": ""purchase"", ""value"": ""30""}]","[{""action_type"": ""purchase"", ""value"": ""63.0""}]","[{""action_type"": ""purchase"", ""value"": ""33.72""}]"
good_signal,Good signal / opportunity,2026-06-08,2026-06-08,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_2,Lookalike Purchasers 2%,ad_good_2,Static Before After - Clean Skin,1395.00,49280,38130,826,1.6753,1.6897,28.3076,1.2924,25.0,51991.65,"[{""action_type"": ""purchase"", ""value"": ""25""}]","[{""action_type"": ""purchase"", ""value"": ""55.8""}]","[{""action_type"": ""purchase"", ""value"": ""37.27""}]"
good_signal,Good signal / opportunity,2026-06-08,2026-06-08,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_3,Interest Stack | Beauty Buyers,ad_good_3,Creator Demo - 15 sec,1215.00,44660,35670,800,1.7909,1.5191,27.2056,1.2520,23.0,51989.85,"[{""action_type"": ""purchase"", ""value"": ""23""}]","[{""action_type"": ""purchase"", ""value"": ""52.83""}]","[{""action_type"": ""purchase"", ""value"": ""42.79""}]"
good_signal,Good signal / opportunity,2026-06-09,2026-06-09,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_1,Broad Women 22-40,ad_good_1,UGC Hook - Morning Routine,1953.00,61620,50200,973,1.5792,2.0070,31.6943,1.2275,30.0,66870.72,"[{""action_type"": ""purchase"", ""value"": ""30""}]","[{""action_type"": ""purchase"", ""value"": ""65.1""}]","[{""action_type"": ""purchase"", ""value"": ""34.24""}]"
